(x[1],y[1]) = (   1.6125268850,   1.6211303976 )  -31.4151906064
(x[2],y[2]) = (   1.6790924900,   1.5990825129 )  -31.4146606446
(x[0],y[0]) = (   1.6533873570,   1.6029019600 )  -31.4207790597
(x[1],y[1]) = (   1.6428375630,   1.5923124167 )  -31.4153687450
(x[2],y[2]) = (   1.6125268850,   1.6211303976 )  -31.4151906064
(x[0],y[0]) = (   1.6533873570,   1.6029019600 )  -31.4207790597
(x[1],y[1]) = (   1.6836980350,   1.5740839791 )  -31.4178581179
(x[2],y[2]) = (   1.6428375630,   1.5923124167 )  -31.4153687450
(x[0],y[0]) = (   1.6533873570,   1.6029019600 )  -31.4207790597
(x[1],y[1]) = (   1.6556901295,   1.5904026931 )  -31.4189122816
(x[2],y[2]) = (   1.6836980350,   1.5740839791 )  -31.4178581179
(x[0],y[0]) = (   1.6533873570,   1.6029019600 )  -31.4207790597
(x[1],y[1]) = (   1.6253794515,   1.6192206741 )  -31.4196446533
(x[2],y[2]) = (   1.6556901295,   1.5904026931 )  -31.4189122816
(x[0],y[0]) = (   1.6067699537,   1.6523785649 )  -31.4209127190
(x[1],y[1]) = (   1.6533873570,   1.6029019600 )  -31.4207790597
(x[2],y[2]) = (   1.6253794515,   1.6192206741 )  -31.4196446533
(x[0],y[0]) = (   1.6324282573,   1.6318500566 )  -31.4211322242
(x[1],y[1]) = (   1.6067699537,   1.6523785649 )  -31.4209127190
(x[2],y[2]) = (   1.6533873570,   1.6029019600 )  -31.4207790597
(x[0],y[0]) = (   1.6364932312,   1.6225081354 )  -31.4215038181
(x[1],y[1]) = (   1.6324282573,   1.6318500566 )  -31.4211322242
(x[2],y[2]) = (   1.6067699537,   1.6523785649 )  -31.4209127190
(x[0],y[0]) = (   1.6364932312,   1.6225081354 )  -31.4215038181
(x[1],y[1]) = (   1.6206153490,   1.6397788304 )  -31.4213939917
(x[2],y[2]) = (   1.6324282573,   1.6318500566 )  -31.4211322242
(x[0],y[0]) = (   1.6364932312,   1.6225081354 )  -31.4215038181
(x[1],y[1]) = (   1.6246803229,   1.6304369092 )  -31.4214836990
(x[2],y[2]) = (   1.6206153490,   1.6397788304 )  -31.4213939917
(x[0],y[0]) = (   1.6256010630,   1.6331256764 )  -31.4215528349
(x[1],y[1]) = (   1.6364932312,   1.6225081354 )  -31.4215038181
(x[2],y[2]) = (   1.6246803229,   1.6304369092 )  -31.4214836990
(x[0],y[0]) = (   1.6278637350,   1.6291269075 )  -31.4215684341
(x[1],y[1]) = (   1.6256010630,   1.6331256764 )  -31.4215528349
(x[2],y[2]) = (   1.6364932312,   1.6225081354 )  -31.4215038181
(x[0],y[0]) = (   1.6278637350,   1.6291269075 )  -31.4215684341
(x[1],y[1]) = (   1.6316128151,   1.6268172137 )  -31.4215676860
(x[2],y[2]) = (   1.6256010630,   1.6331256764 )  -31.4215528349
(x[0],y[0]) = (   1.6276696690,   1.6305488685 )  -31.4215742060
(x[1],y[1]) = (   1.6278637350,   1.6291269075 )  -31.4215684341
(x[2],y[2]) = (   1.6316128151,   1.6268172137 )  -31.4215676860
(x[0],y[0]) = (   1.6296897586,   1.6283275508 )  -31.4215771600
(x[1],y[1]) = (   1.6276696690,   1.6305488685 )  -31.4215742060
(x[2],y[2]) = (   1.6278637350,   1.6291269075 )  -31.4215684341
(x[0],y[0]) = (   1.6296897586,   1.6283275508 )  -31.4215771600
(x[1],y[1]) = (   1.6282717244,   1.6292825586 )  -31.4215762931
(x[2],y[2]) = (   1.6276696690,   1.6305488685 )  -31.4215742060
(x[0],y[0]) = (   1.6283252053,   1.6296769616 )  -31.4215772061
(x[1],y[1]) = (   1.6296897586,   1.6283275508 )  -31.4215771600
(x[2],y[2]) = (   1.6282717244,   1.6292825586 )  -31.4215762931
(x[0],y[0]) = (   1.6286396032,   1.6291424074 )  -31.4215776664
(x[1],y[1]) = (   1.6283252053,   1.6296769616 )  -31.4215772061
(x[2],y[2]) = (   1.6296897586,   1.6283275508 )  -31.4215771600
(x[0],y[0]) = (   1.6290860814,   1.6288686177 )  -31.4215778374
(x[1],y[1]) = (   1.6286396032,   1.6291424074 )  -31.4215776664
(x[2],y[2]) = (   1.6283252053,   1.6296769616 )  -31.4215772061
(x[0],y[0]) = (   1.6290860814,   1.6288686177 )  -31.4215778374
(x[1],y[1]) = (   1.6291316608,   1.6286697880 )  -31.4215777232
(x[2],y[2]) = (   1.6286396032,   1.6291424074 )  -31.4215776664
(x[0],y[0]) = (   1.6290860814,   1.6288686177 )  -31.4215778374
(x[1],y[1]) = (   1.6288742371,   1.6289558051 )  -31.4215778373
(x[2],y[2]) = (   1.6291316608,   1.6286697880 )  -31.4215777232
(x[0],y[0]) = (   1.6289044085,   1.6290334231 )  -31.4215778650
(x[1],y[1]) = (   1.6290860814,   1.6288686177 )  -31.4215778374
(x[2],y[2]) = (   1.6288742371,   1.6289558051 )  -31.4215778373
(x[0],y[0]) = (   1.6289347410,   1.6289534127 )  -31.4215778873
(x[1],y[1]) = (   1.6289044085,   1.6290334231 )  -31.4215778650
(x[2],y[2]) = (   1.6290860814,   1.6288686177 )  -31.4215778374
(x[0],y[0]) = (   1.6289347410,   1.6289534127 )  -31.4215778873
(x[1],y[1]) = (   1.6288363215,   1.6290558180 )  -31.4215778733
(x[2],y[2]) = (   1.6289044085,   1.6290334231 )  -31.4215778650
(x[0],y[0]) = (   1.6289347410,   1.6289534127 )  -31.4215778873
(x[1],y[1]) = (   1.6288949699,   1.6290190192 )  -31.4215778804
(x[2],y[2]) = (   1.6288363215,   1.6290558180 )  -31.4215778733
(x[0],y[0]) = (   1.6289347410,   1.6289534127 )  -31.4215778873
(x[1],y[1]) = (   1.6289933895,   1.6289166139 )  -31.4215778847
(x[2],y[2]) = (   1.6288949699,   1.6290190192 )  -31.4215778804
(x[0],y[0]) = (   1.6289347410,   1.6289534127 )  -31.4215778873
(x[1],y[1]) = (   1.6289295176,   1.6289770163 )  -31.4215778866
(x[2],y[2]) = (   1.6289933895,   1.6289166139 )  -31.4215778847
(x[0],y[0]) = (   1.6289627594,   1.6289409142 )  -31.4215778877
(x[1],y[1]) = (   1.6289347410,   1.6289534127 )  -31.4215778873
(x[2],y[2]) = (   1.6289295176,   1.6289770163 )  -31.4215778866
(x[0],y[0]) = (   1.6289391339,   1.6289620899 )  -31.4215778880
(x[1],y[1]) = (   1.6289627594,   1.6289409142 )  -31.4215778877
(x[2],y[2]) = (   1.6289347410,   1.6289534127 )  -31.4215778873
(x[0],y[0]) = (   1.6289428438,   1.6289524574 )  -31.4215778882
(x[1],y[1]) = (   1.6289391339,   1.6289620899 )  -31.4215778880
(x[2],y[2]) = (   1.6289627594,   1.6289409142 )  -31.4215778877
(x[0],y[0]) = (   1.6289428438,   1.6289524574 )  -31.4215778882
(x[1],y[1]) = (   1.6289518741,   1.6289490939 )  -31.4215778881
(x[2],y[2]) = (   1.6289391339,   1.6289620899 )  -31.4215778880
(x[0],y[0]) = (   1.6289428438,   1.6289524574 )  -31.4215778882
(x[1],y[1]) = (   1.6289555841,   1.6289394615 )  -31.4215778882
(x[2],y[2]) = (   1.6289518741,   1.6289490939 )  -31.4215778881
(x[0],y[0]) = (   1.6289505440,   1.6289475267 )  -31.4215778883
